Wall time,Step,Value
1693063326.735567,1,3.8282198905944824
1693063343.1716735,1,3.82138991355896
1693063351.2200327,1,3.8157401084899902
1693063383.3856902,1,3.821769952774048
1693063391.6245148,1,3.8267300128936768
1693063396.698749,1,3.8229100704193115
1693063397.5419943,1,3.823129892349243
1693063403.3803606,1,3.8209800720214844
1693063404.8920631,1,3.8190701007843018
1693063412.930324,1,3.800960063934326
1693063424.0870123,1,3.750459909439087
1693063448.9650977,1,3.585319995880127
1693063498.3194687,2,2.355720043182373
1693063504.5237684,2,2.322770118713379
1693063505.263888,2,2.318459987640381
1693063510.34054,2,2.2967898845672607
1693063538.9081466,2,2.1439499855041504
1693063543.5550513,2,2.118799924850464
1693063543.89219,2,2.1180999279022217
1693063558.363911,2,2.043329954147339
1693063562.3876693,2,2.0276899337768555
1693063575.8113294,2,1.9846199750900269
1693063617.950538,3,1.5844299793243408
1693063625.7138252,3,1.5780500173568726
1693063635.9460866,3,1.5671499967575073
1693063636.0344598,3,1.5675599575042725
1693063657.4286704,3,1.5412100553512573
1693063695.3023376,3,1.4923399686813354
1693063715.9886727,3,1.4780999422073364
1693063717.5727377,3,1.4761199951171875
1693063737.0751243,4,1.452299952507019
1693063770.8396237,4,1.3703800439834595
1693063771.0757225,4,1.3702499866485596
1693063776.6045656,4,1.3626099824905396
1693063792.8229885,4,1.355180025100708
1693063806.6640446,4,1.3359099626541138
1693063844.0978346,4,1.3167699575424194
1693063864.944365,5,1.3400299549102783
1693063874.5027835,5,1.303820013999939
1693063876.3252084,5,1.3022099733352661
1693063893.5820725,5,1.277590036392212
1693063904.778055,5,1.2766900062561035
1693063923.8596468,5,1.2621099948883057
1693063940.383322,5,1.2529300451278687
1693063962.1192327,5,1.2370400428771973
1693063963.4318385,5,1.235569953918457
1693064013.6347864,6,1.1971299648284912
1693064028.287973,6,1.1994500160217285
1693064032.960422,6,1.19760000705719
1693064041.709648,6,1.194700002670288
1693064064.559034,6,1.1877599954605103
1693064066.5112622,6,1.186900019645691
1693064131.3181965,7,1.200850009918213
1693064132.4718037,7,1.2038099765777588
1693064147.5775685,7,1.1762100458145142
1693064159.5740378,7,1.1718000173568726
1693064179.8994215,7,1.1677000522613525
1693064202.9776223,7,1.1398500204086304
1693064211.7705185,7,1.1374000310897827
1693064212.0798092,7,1.1366900205612183
1693064260.483132,8,1.119570016860962
1693064264.359862,8,1.1114699840545654
1693064289.3485522,8,1.1172900199890137
1693064302.2126803,8,1.1250300407409668
1693064306.622028,8,1.1246000528335571
1693064335.915408,8,1.1215499639511108
1693064337.0818315,8,1.1211199760437012
1693064347.1093946,8,1.1202900409698486
1693064388.8456688,9,1.0979100465774536
1693064395.1578622,9,1.1073600053787231
1693064429.1723728,9,1.0967700481414795
1693064450.6356328,9,1.0958000421524048
1693064458.870006,9,1.09784996509552
1693064460.2299407,9,1.0971399545669556
1693064473.1533523,9,1.0988399982452393
1693064561.0479965,10,1.0969300270080566
1693064569.5204294,10,1.0934100151062012
1693064573.837193,10,1.0938800573349
1693064582.7373624,10,1.0929499864578247
1693064600.4688623,10,1.0843700170516968
1693064625.9770787,11,1.080049991607666
1693064626.3095827,11,1.0769599676132202
1693064632.6802106,11,1.0664600133895874
1693064638.26681,11,1.0777699947357178
1693064646.7382226,11,1.0639100074768066
1693064691.218521,11,1.0630700588226318
1693064694.7120328,11,1.0639699697494507
1693064707.6978016,11,1.0655200481414795
1693064715.8269913,11,1.066890001296997
1693064750.525994,12,1.077929973602295
1693064751.1983767,12,1.0772900581359863
