                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.99267,                 1.5877,                0.89487,                 1.1518,                0.72998,                0.63762,                0.71831,                0.46731,                 0.7295,                0.61118,                0.69623,                0.39541,                 1.0125,                0.84411,                 5.4202,                 1.1654,               0.009241,               0.009241,               0.009241
                     25,                0.98978,                 1.5605,                0.88756,                 1.1469,                0.72252,                0.63576,                0.71425,                0.46572,                0.72355,                0.62312,                0.69748,                0.38709,                 1.0182,                0.84456,                 5.8121,                 1.1732,               0.009208,               0.009208,               0.009208
                     26,                0.98353,                 1.5869,                0.88893,                 1.1501,                 0.7458,                0.64561,                0.73618,                0.49563,                0.74749,                0.62468,                0.71379,                0.41672,                 1.0073,                0.82744,                 5.9101,                 1.1949,               0.009175,               0.009175,               0.009175
                     27,                0.98395,                  1.567,                0.89026,                 1.1445,                0.73813,                0.64025,                 0.7266,                0.48249,                 0.7523,                0.61948,                0.70889,                0.40673,                 1.0072,                0.82923,                 5.8155,                  1.175,               0.009142,               0.009142,               0.009142
                     28,                0.97807,                 1.5461,                0.88458,                  1.144,                0.74794,                0.64851,                0.73586,                 0.5024,                  0.744,                0.63039,                0.71726,                0.42474,                 1.0114,                0.82729,                 5.2023,                 1.1954,               0.009109,               0.009109,               0.009109
                     29,                0.96678,                 1.5342,                0.86444,                  1.136,                0.75754,                0.64769,                0.73791,                0.50609,                0.75508,                0.63315,                0.72372,                0.43497,                 1.0093,                 0.8264,                 5.6626,                 1.1843,               0.009076,               0.009076,               0.009076
                     30,                0.97286,                 1.5353,                 0.8762,                 1.1394,                 0.7296,                0.65461,                0.73252,                0.48449,                0.72336,                0.63938,                0.71209,                0.41151,                 1.0287,                0.82055,                 5.5158,                 1.1793,               0.009043,               0.009043,               0.009043
                     31,                0.96468,                 1.5378,                0.86402,                  1.133,                0.74387,                0.64982,                0.73453,                0.49288,                0.74429,                0.62935,                0.71458,                0.41657,                0.97168,                0.81407,                 5.4752,                 1.1461,                0.00901,                0.00901,                0.00901
                     32,                0.95802,                 1.5373,                0.86299,                 1.1329,                0.75033,                0.64018,                 0.7359,                0.50455,                0.74776,                0.62684,                 0.7162,                0.42419,                0.95272,                0.82533,                 5.5399,                 1.1422,               0.008977,               0.008977,               0.008977
                     33,                0.96248,                 1.5368,                0.87151,                 1.1343,                0.75625,                0.65409,                0.74737,                0.51345,                0.76075,                0.63385,                 0.7242,                0.43039,                0.97314,                0.79891,                 5.3308,                   1.15,               0.008944,               0.008944,               0.008944
