                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.8072,                  2.564,                 1.4201,                 1.4144,                0.52034,                0.41303,                0.41419,                0.18648,                0.52331,                0.36963,                0.37714,                0.14114,                 1.9683,                 2.8435,                 1.4364,                 1.3594,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.8072,                 2.5166,                 1.4174,                 1.4073,                0.52987,                 0.4333,                0.44149,                0.19024,                0.48347,                0.38667,                0.38106,                0.14965,                 1.9429,                 2.7343,                 1.4721,                 1.3345,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.7783,                 2.5687,                   1.41,                 1.4127,                0.53724,                0.48963,                0.47427,                0.20633,                 0.4772,                0.41333,                0.40056,                0.14874,                 1.8921,                 2.7596,                 1.4228,                 1.2995,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.7853,                 2.5253,                 1.3725,                  1.389,                0.54563,                0.39111,                0.41109,                0.17755,                0.53501,                0.35852,                0.36695,                0.13035,                 1.9689,                  2.747,                 1.5115,                 1.3534,               0.001835,               0.001835,               0.001835
                     27,                  1.755,                 2.5306,                 1.3647,                 1.3909,                0.54191,                0.44165,                0.46241,                0.19874,                0.48375,                0.39425,                0.39167,                0.13788,                 1.8781,                 2.9192,                 1.4194,                  1.304,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.7291,                 2.5981,                 1.3483,                 1.3813,                0.52412,                0.42423,                0.42395,                0.19584,                0.52313,                0.37037,                0.39139,                0.15196,                 1.8764,                 6.2027,                 1.4709,                 1.3019,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.7461,                 2.4547,                  1.345,                 1.3729,                0.52564,                0.43778,                0.45204,                0.19787,                0.51346,                0.38222,                0.39478,                0.15418,                 1.8957,                 2.7148,                 1.4201,                 1.3118,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.7177,                 2.5612,                 1.3526,                 1.3772,                0.52324,                0.39037,                0.41184,                0.17626,                0.47659,                0.35185,                 0.3575,                0.12902,                 1.9873,                 2.5899,                 1.4831,                  1.323,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.7049,                 2.4429,                 1.3091,                 1.3586,                0.53292,                 0.4837,                0.47503,                0.20117,                0.49225,                 0.4363,                0.40979,                0.13781,                 1.8832,                 2.7033,                 1.4196,                 1.2833,               0.001802,               0.001802,               0.001802
                     32,                 1.7213,                 2.4946,                 1.3372,                 1.3585,                0.50203,                0.43837,                 0.4294,                0.18688,                0.52526,                0.34519,                0.37542,                0.13187,                   1.93,                 2.7386,                 1.4977,                  1.326,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.7294,                 2.4371,                 1.3281,                   1.36,                0.51512,                0.39481,                0.41305,                 0.1785,                0.46689,                0.33539,                0.34659,                0.12358,                 1.9757,                 2.9319,                  1.504,                 1.3172,              0.0017888,              0.0017888,              0.0017888
                     34,                 1.6557,                 2.4344,                 1.2676,                 1.3342,                0.55385,                0.38963,                0.41299,                0.18579,                 0.5454,                0.34889,                0.35668,                0.14043,                 1.9459,                  2.739,                 1.4428,                 1.3116,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.6618,                 2.4406,                 1.2846,                 1.3372,                0.56078,                0.43185,                0.46741,                0.20808,                0.53343,                0.39111,                 0.4157,                0.15503,                 1.8629,                 3.2569,                  1.371,                 1.2865,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.6586,                 2.4785,                 1.2818,                  1.327,                0.57044,                0.45926,                0.47624,                0.21011,                0.51227,                0.40846,                0.40485,                0.14044,                  1.842,                 2.7495,                 1.4154,                 1.2732,               0.001769,               0.001769,               0.001769
                     37,                 1.6496,                 2.4611,                 1.2567,                 1.3051,                 0.5281,                0.44741,                0.45408,                0.20663,                0.48089,                0.40741,                0.40022,                0.14853,                 1.8414,                 2.7624,                 1.4103,                 1.2771,              0.0017624,              0.0017624,              0.0017624
